individual,site,replicate
1,K,1
1,K,2
1,K,3
2,K,1
2,K,2
2,K,3
3,K,1
3,K,2
3,K,3
4,K,1
4,K,2
4,K,3
5,K,1
5,K,2
5,K,3
6,K,1
6,K,2
6,K,3
7,K,1
7,K,2
7,K,3
8,K,1
8,K,2
8,K,3
9,K,1
9,K,2
9,K,3
10,K,1
10,K,2
10,K,3
11,K,1
11,K,2
11,K,3
12,K,1
12,K,2
12,K,3
13,K,1
13,K,2
13,K,3
14,K,1
14,K,2
14,K,3
15,K,1
15,K,2
15,K,3
16,K,1
16,K,2
16,K,3
17,K,1
17,K,2
17,K,3
18,K,1
18,K,2
18,K,3
19,K,1
19,K,2
19,K,3
20,K,1
20,K,2
20,K,3
21,K,1
21,K,2
21,K,3
22,K,1
22,K,2
22,K,3
23,K,1
23,K,2
23,K,3
24,K,1
24,K,2
24,K,3
25,K,1
25,K,2
25,K,3
26,K,1
26,K,2
26,K,3
27,J,1
27,J,2
27,J,3
28,J,1
28,J,2
28,J,3
29,J,1
29,J,2
29,J,3
30,J,1
30,J,2
30,J,3
31,J,1
31,J,2
31,J,3
32,J,1
32,J,2
32,J,3
33,J,1
33,J,2
33,J,3
34,J,1
34,J,2
34,J,3
35,J,1
35,J,2
35,J,3
36,J,1
36,J,2
36,J,3
37,J,1
37,J,2
37,J,3
38,J,1
38,J,2
38,J,3
39,J,1
39,J,2
39,J,3
40,J,1
40,J,2
40,J,3
41,J,1
41,J,2
41,J,3
42,J,1
42,J,2
42,J,3
43,J,1
43,J,2
43,J,3
44,J,1
44,J,2
44,J,3
45,J,1
45,J,2
45,J,3
46,J,1
46,J,2
46,J,3
47,J,1
47,J,2
47,J,3
48,J,1
48,J,2
48,J,3
49,J,1
49,J,2
49,J,3
50,J,1
50,J,2
50,J,3
51,J,1
51,J,2
51,J,3
52,J,1
52,J,2
52,J,3
53,J,1
53,J,2
53,J,3
54,J,1
54,J,2
54,J,3
